Percentage_loss,Class
53.67179,Yield
35.436928,Yield
40.236507,Yield
35.186882,Biomass
37.193897,Yield
37.66348,Biomass
33.91655,Biomass
31.367567,Biomass
38.280697,Yield
36.03774,Plant growth
36.741493,Yield
35.563564,Biomass
32.223763,Biomass
33.273052,Biomass
38.230343,Biomass
34.6852,Biomass
34.68308,Plant growth
37.809025,Biomass
39.705414,Biomass
37.41508,Biomass
36.659725,Biomass
36.05283,Yield
34.802105,Biomass
35.36312,Yield
31.782194,Biomass
37.189972,Yield
33.925026,Biomass
30.475885,Plant growth
40.150265,Plant growth
39.682995,Biomass
37.689915,Biomass
39.590492,Yield
33.944794,Biomass
36.963226,Biomass
37.61311,Yield
34.743587,Biomass
35.07507,Biomass
35.23988,Biomass
35.370365,Yield
34.228413,Biomass
33.969593,Biomass
54.746914,Biomass
34.647285,Plant growth
31.424702,Biomass
37.987972,Biomass
36.368057,Biomass
22.921812,Biomass
31.228464,Plant growth
34.08266,Biomass
35.91364,Yield
31.80383,Biomass
37.107533,Yield
37.872425,Biomass
31.908178,Plant growth
37.186096,Yield
37.089165,Yield
38.845154,Yield
37.066704,Biomass
34.725452,Biomass
37.601887,Yield
36.052933,Yield
37.555904,Biomass
31.722385,Biomass
37.66938,Yield
39.890877,Yield
39.758675,Yield
31.367567,Biomass
37.17329,Biomass
31.367567,Biomass
36.748955,Biomass
37.763165,Yield
39.034668,Biomass
36.741493,Yield
41.38437,Yield
33.493015,Biomass
36.040176,Plant growth
37.96379,Biomass
33.523975,Biomass
35.265816,Yield
40.499817,Biomass
37.721924,Yield
34.09531,Biomass
37.51764,Biomass
43.3443,Plant growth
34.165012,Biomass
36.734295,Plant growth
40.363525,Plant growth
38.963528,Plant growth
33.903458,Biomass
38.097332,Yield
35.36531,Yield
31.79794,Biomass
37.226086,Yield
30.71428,Plant growth
34.168957,Biomass
30.550362,Plant growth
41.038326,Yield
37.549026,Biomass
34.359737,Biomass
36.308376,Biomass
35.243587,Yield
34.64572,Plant growth
32.198708,Biomass
48.244522,Plant growth
35.90712,Biomass
31.369581,Biomass
37.754436,Biomass
37.089504,Yield
37.64701,Plant growth
39.59128,Yield
27.9425,Yield
34.737186,Biomass
33.126835,Biomass
43.54852,Plant growth
39.642467,Yield
36.88293,Yield
33.279686,Biomass
54.728996,Biomass
33.264927,Biomass
45.702126,Yield
36.798878,Yield
37.428345,Biomass
34.228413,Biomass
40.478672,Biomass
37.399296,Yield
36.964256,Biomass
54.869087,Biomass
35.24522,Yield
35.87059,Yield
34.264503,Biomass
35.627174,Biomass
35.199116,Biomass
40.404015,Plant growth
38.594547,Yield
37.44525,Biomass
35.314438,Yield
34.848564,Plant growth
35.317856,Yield
54.780052,Biomass
35.36312,Yield
30.310158,Biomass
37.891518,Biomass
36.872925,Biomass
35.87059,Yield
37.90968,Yield
36.052933,Yield
22.799541,Biomass
32.19976,Biomass
36.3411,Plant growth
38.415913,Plant growth
34.80743,Biomass
31.807503,Biomass
38.573044,Yield
33.909122,Biomass
36.616585,Yield
54.33883,Yield
35.657494,Biomass
37.46238,Yield
35.314533,Yield
34.248844,Biomass
29.827606,Plant growth
42.31487,Biomass
31.46231,Plant growth
37.594276,Yield
37.100677,Yield
40.01661,Yield
32.199657,Biomass
37.189972,Yield
34.10893,Biomass
36.019863,Yield
33.92648,Biomass
37.218277,Biomass
37.588875,Yield
43.506668,Plant growth
31.80383,Biomass
38.266735,Yield
29.167,Plant growth
37.107533,Yield
50.70008,Biomass
55.637123,Biomass
36.747284,Plant growth
35.238354,Biomass
36.941483,Yield
36.923668,Yield
33.729992,Biomass
37.089165,Yield
42.275555,Biomass
36.400978,Biomass
37.600197,Biomass
33.925026,Biomass
37.512463,Yield
36.629932,Yield
40.611572,Plant growth
34.39732,Biomass
34.0879,Biomass
38.176086,Biomass
39.71613,Yield
31.527884,Plant growth
35.24089,Yield
34.892082,Biomass
36.067448,Biomass
36.673172,Biomass
37.610073,Yield
37.601887,Yield
36.674652,Yield
33.279694,Plant growth
34.111042,Biomass
41.787727,Yield
36.94633,Yield
34.74225,Biomass
38.096157,Yield
35.768414,Biomass
29.131502,Plant growth
38.30191,Biomass
34.088688,Biomass
32.198837,Biomass
45.645695,Plant growth
39.58309,Yield
40.28048,Plant growth
36.431965,Plant growth
37.174164,Yield
35.777515,Yield
26.517296,Biomass
37.25496,Yield
36.60539,Yield
37.576588,Yield
40.030594,Plant growth
53.65069,Yield
37.178192,Biomass
37.142353,Yield
37.100677,Yield
35.45877,Biomass
36.37692,Biomass
35.251053,Yield
44.282764,Yield
37.599762,Biomass
35.464825,Biomass
35.314533,Yield
37.610073,Yield
52.2535,Biomass
38.549404,Yield
50.70008,Biomass
34.644333,Plant growth
37.7146,Plant growth
42.050613,Plant growth
35.31457,Yield
35.777515,Yield
35.627174,Biomass
34.84818,Biomass
34.352596,Biomass
34.096043,Biomass
23.637629,Plant growth
33.894806,Biomass
32.399185,Biomass
43.59281,Plant growth
35.265816,Yield
37.624172,Yield
35.357224,Yield
36.061905,Biomass
36.639805,Biomass
38.304077,Yield
37.987946,Biomass
34.81852,Biomass
41.384186,Yield
33.192947,Biomass
35.256474,Yield
33.264927,Biomass
37.559822,Yield
37.74364,Biomass
37.285572,Biomass
31.367647,Biomass
37.63721,Biomass
33.533737,Biomass
33.273052,Biomass
50.70008,Biomass
35.883167,Biomass
35.341255,Yield
35.13157,Biomass
33.909122,Biomass
37.559822,Yield
39.707294,Yield
40.360416,Plant growth
33.156933,Biomass
35.28375,Yield
42.204887,Biomass
35.775932,Yield
36.03045,Yield
37.123604,Yield
35.68168,Biomass
37.232048,Biomass
40.150265,Plant growth
22.74366,Biomass
31.473,Plant growth
33.943275,Biomass
36.058052,Yield
33.782032,Biomass
36.05188,Yield
37.559822,Yield
39.691902,Yield
54.780052,Biomass
30.93859,Plant growth
37.2455,Biomass
37.560295,Biomass
35.337883,Biomass
35.370365,Yield
35.367237,Yield
37.562176,Biomass
35.242424,Yield
33.903458,Biomass
37.100677,Yield
37.59553,Yield
38.94389,Biomass
54.335594,Yield
37.60084,Biomass
37.189972,Yield
33.426594,Biomass
33.27902,Biomass
36.080963,Biomass
34.64369,Plant growth
37.543022,Biomass
38.769096,Biomass
39.758675,Yield
37.61311,Yield
37.170567,Biomass
37.242718,Biomass
37.579433,Yield
34.22005,Biomass
36.02565,Biomass
34.223866,Biomass
36.674652,Yield
30.75301,Plant growth
33.252354,Biomass
31.033457,Plant growth
31.246412,Plant growth
37.100677,Yield
37.100677,Yield
38.467964,Yield
37.334465,Biomass
37.96379,Biomass
37.232048,Biomass
37.312298,Biomass
37.576164,Yield
35.72301,Plant growth
36.83933,Yield
37.61311,Yield
37.607773,Yield
34.554455,Biomass
34.344326,Biomass
34.684875,Plant growth
34.66417,Biomass
37.775646,Biomass
28.901413,Plant growth
37.44746,Biomass
37.22884,Biomass
40.985153,Yield
36.308376,Biomass
33.903458,Biomass
37.963722,Biomass
36.633976,Yield
32.399185,Biomass
35.716213,Plant growth
33.903458,Biomass
37.44449,Biomass
37.64701,Plant growth
53.801464,Yield
33.83171,Biomass
45.691563,Plant growth
42.050434,Yield
31.291336,Biomass
35.61899,Biomass
41.005737,Yield
37.363033,Biomass
53.790398,Yield
37.769497,Yield
35.317726,Yield
36.251724,Plant growth
38.564545,Biomass
36.056633,Yield
34.011124,Yield
36.587566,Yield
36.741493,Yield
38.404194,Biomass
40.231976,Plant growth
33.94001,Biomass
37.883633,Yield
38.093483,Yield
42.31487,Biomass
36.63972,Biomass
34.223866,Biomass
34.769855,Biomass
40.51551,Plant growth
39.679398,Yield
37.158947,Biomass
36.57855,Biomass
34.76626,Biomass
35.96216,Yield
37.661434,Biomass
34.82851,Biomass
45.64348,Plant growth
37.089504,Yield
33.94792,Biomass
34.74181,Biomass
37.512383,Biomass
40.478672,Biomass
38.297474,Yield
35.265816,Yield
32.89658,Plant growth
35.42648,Plant growth
37.963646,Biomass
36.4501,Plant growth
37.576485,Biomass
37.079483,Biomass
35.378624,Yield
37.56405,Biomass
45.644505,Plant growth
37.063297,Plant growth
37.00377,Biomass
36.83933,Yield
37.100677,Yield
29.610718,Plant growth
33.279694,Plant growth
37.123604,Yield
37.415504,Biomass
37.482254,Biomass
37.09572,Yield
34.68308,Plant growth
32.76598,Biomass
37.836548,Plant growth
37.576164,Yield
38.153835,Biomass
37.903744,Biomass
37.64716,Yield
38.436924,Biomass
40.77901,Biomass
34.725452,Biomass
33.529346,Biomass
33.89712,Biomass
31.804625,Biomass
37.583527,Yield
34.10193,Biomass
50.70008,Biomass
37.637814,Biomass
36.83933,Yield
35.783634,Yield
31.523272,Plant growth
36.014362,Yield
35.24522,Yield
